folder,input_size,eps,delta,test,max_depth,avg_depth,min_depth,max_variables,avg_variables,min_variables,number_of_paths,number_of_outputs,max_conditions,avg_conditions,min_conditions,time_all,output_all,time_single,output_single
nonpriv_svt,4,0.5,0.01,example_4.dip,2,1.6,1,5,3.8,2,5,5,4,2.8,1,0.9583500226338705,"{ ""DP"": -1}",0.9318469365437826,"{ ""DP"": -1}"
nonpriv_svt,5,0.5,0.01,example_5.dip,2,1.6666666666666667,1,6,4.333333333333333,2,6,6,5,3.3333333333333335,1,0.9566982587178549,"{ ""DP"": -1}",0.9502588113149008,"{ ""DP"": -1}"
nonpriv_svt,6,0.5,0.01,example_6.dip,2,1.7142857142857142,1,7,4.857142857142857,2,7,7,6,3.857142857142857,1,0.9735802809397379,"{ ""DP"": -1}",0.9992556571960449,"{ ""DP"": -1}"
nonpriv_svt,3,0.5,0.01,example_3.dip,2,1.5,1,4,3.25,2,4,4,3,2.25,1,0.9357409477233887,"{ ""DP"": -1}",0.9890199502309164,"{ ""DP"": -1}"
nonpriv_svt_max,4,0.5,0.01,example_4.dip,2,1.6,1,5,3.8,2,5,5,4,2.8,1,0.9467159907023112,"{ ""DP"": -1}",0.9494402408599854,"{ ""DP"": -1}"
nonpriv_svt_max,5,0.5,0.01,example_5.dip,2,1.6666666666666667,1,6,4.333333333333333,2,6,6,5,3.3333333333333335,1,0.9398550987243652,"{ ""DP"": -1}",0.9477554162343343,"{ ""DP"": -1}"
nonpriv_svt_max,6,0.5,0.01,example_6.dip,2,1.7142857142857142,1,7,4.857142857142857,2,7,7,6,3.857142857142857,1,1.0532159010569255,"{ ""DP"": -1}",1.02609388033549,"{ ""DP"": -1}"
nonpriv_svt_max,3,0.5,0.01,example_3.dip,2,1.5,1,4,3.25,2,4,4,3,2.25,1,1.0470242500305176,"{ ""DP"": -1}",0.9720632235209147,"{ ""DP"": -1}"
noisy_max,4,0.5,0.01,example_4.dip,4,3,2,4,4,4,8,4,3,3,3,303.0184169610341,"{ ""DP"": 1}",37.81722044944763,"{ ""DP"": 1}"
noisy_max,5,0.5,0.01,example_5.dip,5,3.5,2,5,5,5,16,5,4,4,4,TIMEOUT,N/A,TIMEOUT,N/A
noisy_max,2,0.5,0.01,example_2.dip,2,2,2,2,2,2,2,2,1,1,1,1.3192809422810872,"{ ""DP"": 1}",0.9561189810434977,"{ ""DP"": 1}"
noisy_max,3,0.5,0.01,example_3.dip,3,2.5,2,3,3,3,4,3,2,2,2,3.132619857788086,"{ ""DP"": 1}",1.585102955500285,"{ ""DP"": 1}"
noisy_min,4,0.5,0.01,example_4.dip,4,3,2,4,4,4,8,4,3,3,3,303.5754964351654,"{ ""DP"": 1}",36.81779559453329,"{ ""DP"": 1}"
noisy_min,5,0.5,0.01,example_5.dip,5,3.5,2,5,5,5,16,5,4,4,4,TIMEOUT,N/A,TIMEOUT,N/A
