test,time,output
example_20.dip,580.5195209980011,"{ ""DP"": 1}"
example_19.dip,505.1730209986369,"{ ""DP"": 1}"
example_18.dip,443.93901467323303,"{ ""DP"": 1}"
example_8.dip,55.40630976359049,"{ ""DP"": 1}"
example_9.dip,72.43232989311218,"{ ""DP"": 1}"
example_16.dip,322.802433013916,"{ ""DP"": 1}"
example_4.dip,13.283086856206259,"{ ""DP"": 1}"
example_5.dip,20.48568097750346,"{ ""DP"": 1}"
example_17.dip,385.1192835966746,"{ ""DP"": 1}"
example_15.dip,268.825745344162,"{ ""DP"": 1}"
example_7.dip,40.78884728749593,"{ ""DP"": 1}"
example_6.dip,30.074772198994953,"{ ""DP"": 1}"
example_14.dip,226.4129524230957,"{ ""DP"": 1}"
example_10.dip,94.70429929097493,"{ ""DP"": 1}"
example_2.dip,1.9397124449412029,"{ ""DP"": 1}"
example_3.dip,6.2323512236277265,"{ ""DP"": 1}"
example_11.dip,129.31187264124551,"{ ""DP"": 1}"
example_13.dip,201.62834254900613,"{ ""DP"": 1}"
example_1.dip,1.8106637001037598,"{ ""DP"": 1}"
example_12.dip,165.47066068649292,"{ ""DP"": 1}"
