folder,input_size,eps,delta,test,max_depth,avg_depth,min_depth,max_variables,avg_variables,min_variables,number_of_paths,number_of_outputs,max_conditions,avg_conditions,min_conditions,time_all,output_all,time_single,output_single
svt,3,0.5,0.01,nonprivate_example_3.dip,2,1.5,1,4,3.25,2,4,4,3,2.25,1,1.0446391900380452,"{ ""DP"": -1}",0.9463678201039633,"{ ""DP"": -1}"
svt,2,0.5,0.01,nonprivate_example_2.dip,2,1.3333333333333333,1,3,2.6666666666666665,2,3,3,2,1.6666666666666667,1,1.3074406782786052,"{ ""DP"": -1}",0.950605312983195,"{ ""DP"": -1}"
svt,20,0.5,0.01,example_20.dip,3,2.9047619047619047,2,21,11.952380952380953,2,21,21,20,10.952380952380953,1,1.0692950089772542,,328.23825732866925,"{ ""DP"": 1}"
svt,21,0.5,0.01,example_21.dip,3,2.909090909090909,2,22,12.454545454545455,2,22,22,21,11.454545454545455,1,1.0220136642456055,,387.8597822189331,"{ ""DP"": 1}"
svt,19,0.5,0.01,example_19.dip,3,2.9,2,20,11.45,2,20,20,19,10.45,1,1.0159016450246174,,293.69927978515625,"{ ""DP"": 1}"
svt,18,0.5,0.01,example_18.dip,3,2.8947368421052633,2,19,10.947368421052632,2,19,19,18,9.947368421052632,1,1.2409869035085042,,251.6024079322815,"{ ""DP"": 1}"
svt,8,0.5,0.01,example_8.dip,3,2.7777777777777777,2,9,5.888888888888889,2,9,9,8,4.888888888888889,1,TIMEOUT,N/A,37.680295864741005,"{ ""DP"": 1}"
svt,9,0.5,0.01,example_9.dip,3,2.8,2,10,6.4,2,10,10,9,5.4,1,TIMEOUT,N/A,48.50448989868164,"{ ""DP"": 1}"
svt,16,0.5,0.01,example_16.dip,3,2.8823529411764706,2,17,9.941176470588236,2,17,17,16,8.941176470588236,1,1.081616957982381,,194.32538652420044,"{ ""DP"": 1}"
svt,4,0.5,0.01,example_4.dip,3,2.6,2,5,3.8,2,5,5,4,2.8,1,63.27570104598999,"{ ""DP"": 1}",9.029752731323242,"{ ""DP"": 1}"
svt,5,0.5,0.01,example_5.dip,3,2.6666666666666665,2,6,4.333333333333333,2,6,6,5,3.3333333333333335,1,550.1673899491628,"{ ""DP"": 0}",12.84,"{ ""DP"": 1}"
svt,17,0.5,0.01,example_17.dip,3,2.888888888888889,2,18,10.444444444444445,2,18,18,17,9.444444444444445,1,1.0633903344472249,,233.55423760414124,"{ ""DP"": 1}"
svt,15,0.5,0.01,example_15.dip,3,2.875,2,16,9.4375,2,16,16,15,8.4375,1,1.2595470746358235,,163.9803342819214,"{ ""DP"": 1}"
svt,7,0.5,0.01,example_7.dip,3,2.75,2,8,5.375,2,8,8,7,4.375,1,TIMEOUT,N/A,27.55117170015971,"{ ""DP"": 1}"
svt,6,0.5,0.01,example_6.dip,3,2.7142857142857144,2,7,4.857142857142857,2,7,7,6,3.857142857142857,1,TIMEOUT,N/A,21.843717734018963,"{ ""DP"": 1}"
svt,14,0.5,0.01,example_14.dip,3,2.8666666666666667,2,15,8.933333333333334,2,15,15,14,7.933333333333334,1,2.561791022618612,,162.05326104164124,"{ ""DP"": 1}"
svt,10,0.5,0.01,example_10.dip,3,2.8181818181818183,2,11,6.909090909090909,2,11,11,10,5.909090909090909,1,1.254411220550537,,61.31046994527181,"{ ""DP"": 1}"
svt,2,0.5,0.01,example_2.dip,3,2.3333333333333335,2,3,2.6666666666666665,2,3,3,2,1.6666666666666667,1,2.3276612758636475,"{ ""DP"": 1}",1.7872965335845947,"{ ""DP"": 1}"
svt,3,0.5,0.01,example_3.dip,3,2.5,2,4,3.25,2,4,4,3,2.25,1,15.575974782307943,"{ ""DP"": 1}",4.721235354741414,"{ ""DP"": 1}"
svt,11,0.5,0.01,example_11.dip,3,2.8333333333333335,2,12,7.416666666666667,2,12,12,11,6.416666666666667,1,1.2525691986083984,,87.54122201601665,"{ ""DP"": 1}"
svt,13,0.5,0.01,example_13.dip,3,2.857142857142857,2,14,8.428571428571429,2,14,14,13,7.428571428571429,1,1.4835265477498372,,122.95679267247517,"{ ""DP"": 1}"
svt,1,0.5,0.01,example_1.dip,2,2,2,2,2,2,2,2,1,1,1,1.2583173910776775,"{ ""DP"": 1}",1.0066110293070476,"{ ""DP"": 1}"
svt,12,0.5,0.01,example_12.dip,3,2.8461538461538463,2,13,7.923076923076923,2,13,13,12,6.923076923076923,1,1.0415876706441243,,97.71889797846477,"{ ""DP"": 1}"
svt_max,3,0.5,0.01,nonprivate_example_3.dip,2,1.5,1,4,3.25,2,4,4,3,2.25,1,0.9140572547912598,"{ ""DP"": -1}",0.9225452740987142,"{ ""DP"": -1}"
svt_max,2,0.5,0.01,nonprivate_example_2.dip,2,1.3333333333333333,1,3,2.6666666666666665,2,3,3,2,1.6666666666666667,1,1.2124723593393962,"{ ""DP"": -1}",0.9365489482879639,"{ ""DP"": -1}"
svt_max,20,0.5,0.01,example_20.dip,3,2.9047619047619047,2,21,11.952380952380953,2,21,21,20,10.952380952380953,1,1.1279030640920003,,362.15399328867596,"{ ""DP"": 1}"
svt_max,21,0.5,0.01,example_21.dip,3,2.909090909090909,2,22,12.454545454545455,2,22,22,21,11.454545454545455,1,1.303152322769165,,416.48319458961487,"{ ""DP"": 1}"
svt_max,19,0.5,0.01,example_19.dip,3,2.9,2,20,11.45,2,20,20,19,10.45,1,1.3439403374989827,,322.73168595631915,"{ ""DP"": 1}"
svt_max,18,0.5,0.01,example_18.dip,3,2.8947368421052633,2,19,10.947368421052632,2,19,19,18,9.947368421052632,1,1.37626314163208,,290.0890494187673,"{ ""DP"": 1}"
svt_max,8,0.5,0.01,example_8.dip,3,2.7777777777777777,2,9,5.888888888888889,2,9,9,8,4.888888888888889,1,TIMEOUT,N/A,45.08209776878357,"{ ""DP"": 1}"
svt_max,9,0.5,0.01,example_9.dip,3,2.8,2,10,6.4,2,10,10,9,5.4,1,TIMEOUT,N/A,65.18709468841553,"{ ""DP"": 1}"
svt_max,16,0.5,0.01,example_16.dip,3,2.8823529411764706,2,17,9.941176470588236,2,17,17,16,8.941176470588236,1,1.7044768333435059,,216.42838867505392,"{ ""DP"": 1}"
svt_max,4,0.5,0.01,example_4.dip,3,2.6,2,5,3.8,2,5,5,4,2.8,1,58.426523208618164,"{ ""DP"": 1}",8.713338057200113,"{ ""DP"": 1}"
svt_max,5,0.5,0.01,example_5.dip,3,2.6666666666666665,2,6,4.333333333333333,2,6,6,5,3.3333333333333335,1,TIMEOUT,N/A,14.760954062143961,"{ ""DP"": 1}"
svt_max,17,0.5,0.01,example_17.dip,3,2.888888888888889,2,18,10.444444444444445,2,18,18,17,9.444444444444445,1,1.067584753036499,,236.94197901089987,"{ ""DP"": 1}"
svt_max,15,0.5,0.01,example_15.dip,3,2.875,2,16,9.4375,2,16,16,15,8.4375,1,1.2416257858276367,,171.89196530977884,"{ ""DP"": 1}"
svt_max,7,0.5,0.01,example_7.dip,3,2.75,2,8,5.375,2,8,8,7,4.375,1,TIMEOUT,N/A,36.52539173762003,"{ ""DP"": 1}"
svt_max,6,0.5,0.01,example_6.dip,3,2.7142857142857144,2,7,4.857142857142857,2,7,7,6,3.857142857142857,1,TIMEOUT,N/A,26.453550736109417,"{ ""DP"": 1}"
svt_max,14,0.5,0.01,example_14.dip,3,2.8666666666666667,2,15,8.933333333333334,2,15,15,14,7.933333333333334,1,1.1559449831644695,,188.76536544164023,"{ ""DP"": 1}"
svt_max,10,0.5,0.01,example_10.dip,3,2.8181818181818183,2,11,6.909090909090909,2,11,11,10,5.909090909090909,1,1.3532609939575195,,68.91246930758159,"{ ""DP"": 1}"
svt_max,2,0.5,0.01,example_2.dip,3,2.3333333333333335,2,3,2.6666666666666665,2,3,3,2,1.6666666666666667,1,2.5015722115834556,"{ ""DP"": 1}",1.6497057278951008,"{ ""DP"": 1}"
svt_max,3,0.5,0.01,example_3.dip,3,2.5,2,4,3.25,2,4,4,3,2.25,1,15.046038389205933,"{ ""DP"": 1}",4.456441322962443,"{ ""DP"": 1}"
svt_max,11,0.5,0.01,example_11.dip,3,2.8333333333333335,2,12,7.416666666666667,2,12,12,11,6.416666666666667,1,1.0934675534566243,,87.34837086995442,"{ ""DP"": 1}"
svt_max,13,0.5,0.01,example_13.dip,3,2.857142857142857,2,14,8.428571428571429,2,14,14,13,7.428571428571429,1,1.1187623341878254,,126.48949940999348,"{ ""DP"": 1}"
svt_max,1,0.5,0.01,example_1.dip,2,2,2,2,2,2,2,2,1,1,1,1.1882452964782715,"{ ""DP"": 1}",0.9405756791432699,"{ ""DP"": 1}"
svt_max,12,0.5,0.01,example_12.dip,3,2.8461538461538463,2,13,7.923076923076923,2,13,13,12,6.923076923076923,1,0.9756792386372884,,92.0714184443156,"{ ""DP"": 1}"
noisy_max,4,0.5,0.01,example_4.dip,4,3,2,4,4,4,8,4,3,3,3,430.60060532887775,"{ ""DP"": 1}",56.57880353927612,"{ ""DP"": 1}"
noisy_max,5,0.5,0.01,example_5.dip,5,3.5,2,5,5,5,16,5,4,4,4,TIMEOUT,N/A,TIMEOUT,N/A
noisy_max,6,0.5,0.01,example_6.dip,6,4,2,6,6,6,32,6,5,5,5,TIMEOUT,N/A,TIMEOUT,N/A
noisy_max,2,0.5,0.01,example_2.dip,2,2,2,2,2,2,2,2,1,1,1,1.5991264979044597,"{ ""DP"": 1}",1.298608700434367,"{ ""DP"": 1}"
noisy_max,3,0.5,0.01,example_3.dip,3,2.5,2,3,3,3,4,3,2,2,2,5.064971367518107,"{ ""DP"": 1}",2.278813044230143,"{ ""DP"": 1}"
noisy_min,4,0.5,0.01,example_4.dip,4,3,2,4,4,4,8,4,3,3,3,TIMEOUT,N/A,88.65359171231587,"{ ""DP"": 1}"
noisy_min,5,0.5,0.01,example_5.dip,5,3.5,2,5,5,5,16,5,4,4,4,TIMEOUT,N/A,TIMEOUT,N/A
noisy_min,6,0.5,0.01,example_6.dip,6,4,2,6,6,6,32,6,5,5,5,TIMEOUT,N/A,TIMEOUT,N/A
noisy_min,2,0.5,0.01,example_2.dip,2,2,2,2,2,2,2,2,1,1,1,1.9775317509969075,"{ ""DP"": 1}",1.9784282843271892,"{ ""DP"": 1}"
noisy_min,3,0.5,0.01,example_3.dip,3,2.5,2,3,3,3,4,3,2,2,2,8.64178737004598,"{ ""DP"": 1}",3.50006898244222,"{ ""DP"": 1}"
svt,22,0.5,0.01,example_22.dip,3,2.9130434782608696,2,23,12.956521739130435,2,23,23,22,11.956521739130435,1,1.352000633875529,,439.59303681055707,"{ ""DP"": 1}"
svt,23,0.5,0.01,example_23.dip,3,2.9166666666666665,2,24,13.458333333333334,2,24,24,23,12.458333333333334,1,1.420702377955119,,498.7320825258891,"{ ""DP"": 1}"
svt,24,0.5,0.01,example_24.dip,3,2.92,2,25,13.96,2,25,25,24,12.96,1,1.4823156197865803,,555.1086330413818,"{ ""DP"": 1}"
