test,time,output
example_1.dip,1.6790982087453206,"{ ""DP"": 1}"
example_2.dip,2.1052358945210776,"{ ""DP"": 1}"
example_3.dip,7.415828466415405,"{ ""DP"": 1}"
example_4.dip,14.030309279759726,"{ ""DP"": 1}"
example_5.dip,22.340155283610027,"{ ""DP"": 1}"
example_6.dip,31.9158030351003,"{ ""DP"": 1}"
example_7.dip,41.26763296127319,"{ ""DP"": 1}"
example_8.dip,53.14951237042745,"{ ""DP"": 1}"
example_9.dip,71.30644241968791,"{ ""DP"": 1}"
example_10.dip,105.22993040084839,"{ ""DP"": 1}"
example_11.dip,115.47644305229187,"{ ""DP"": 1}"
example_12.dip,147.2336859703064,"{ ""DP"": 1}"
example_13.dip,174.2450053691864,"{ ""DP"": 1}"
example_14.dip,211.628643989563,"{ ""DP"": 1}"
example_15.dip,259.96933301289874,"{ ""DP"": 1}"
example_16.dip,325.69308439890546,"{ ""DP"": 1}"
example_17.dip,399.47540012995404,"{ ""DP"": 1}"
example_18.dip,484.1566420396169,"{ ""DP"": 1}"
example_19.dip,550.7319316069285,"{ ""DP"": 1}"
example_20.dip,TIMEOUT,N/A
