input_size,test,type,max_depth,avg_depth,min_depth,max_variables,avg_variables,min_variables,number_of_paths,number_of_outputs,max_conditions,avg_conditions,min_conditions,time_single,output_single
4,example_4.dip,\AboveThreshold,5,3.8,2,5,3.8,2,5,5,4,2.8,1,TIMEOUT,N/A
5,example_5.dip,\AboveThreshold,6,4.333333333333333,2,6,4.333333333333333,2,6,6,5,3.3333333333333335,1,TIMEOUT,N/A
2,example_2.dip,\AboveThreshold,3,2.6666666666666665,2,3,2.6666666666666665,2,3,3,2,1.6666666666666667,1,2.9066683451334634,"{ ""DP"": 1}"
3,example_3.dip,\AboveThreshold,4,3.25,2,4,3.25,2,4,4,3,2.25,1,124.16459965705872,"{ ""DP"": 1}"
1,example_1.dip,\AboveThreshold,2,2,2,2,2,2,2,2,1,1,1,1.261546532313029,"{ ""DP"": 1}"
4,example_4.dip,\BelowThreshold,5,3.8,2,5,3.8,2,5,5,4,2.8,1,TIMEOUT,N/A
5,example_5.dip,\BelowThreshold,6,4.333333333333333,2,6,4.333333333333333,2,6,6,5,3.3333333333333335,1,TIMEOUT,N/A
2,example_2.dip,\BelowThreshold,3,2.6666666666666665,2,3,2.6666666666666665,2,3,3,2,1.6666666666666667,1,2.3448433081309,"{ ""DP"": 1}"
3,example_3.dip,\BelowThreshold,4,3.25,2,4,3.25,2,4,4,3,2.25,1,TIMEOUT,N/A
1,example_1.dip,\BelowThreshold,2,2,2,2,2,2,2,2,1,1,1,1.2623200416564941,"{ ""DP"": 1}"
4,example_4.dip,\NoisyMax,4,4,4,4,4,4,8,4,3,3,3,TIMEOUT,N/A
5,example_5.dip,\NoisyMax,5,5,5,5,5,5,16,5,4,4,4,TIMEOUT,N/A
2,example_2.dip,\NoisyMax,2,2,2,2,2,2,2,2,1,1,1,1.5591946442921956,"{ ""DP"": 1}"
3,example_3.dip,\NoisyMax,3,3,3,3,3,3,4,3,2,2,2,4.118476947148641,"{ ""DP"": 1}"
4,example_4.dip,\NoisyMin,4,4,4,4,4,4,8,4,3,3,3,255.37260993321738,"{ ""DP"": 1}"
5,example_5.dip,\NoisyMin,5,5,5,5,5,5,16,5,4,4,4,TIMEOUT,N/A
2,example_2.dip,\NoisyMin,2,2,2,2,2,2,2,2,1,1,1,1.287402868270874,"{ ""DP"": 1}"
3,example_3.dip,\NoisyMin,3,3,3,3,3,3,4,3,2,2,2,2.3620004653930664,"{ ""DP"": 1}"
