folder,input_size,eps,delta,test,max_depth,avg_depth,min_depth,max_variables,avg_variables,min_variables,number_of_paths,number_of_outputs,max_conditions,avg_conditions,min_conditions,time_all,output_all,time_single,output_single
noisy_max,4,0.5,0.01,example_4.dip,4,3,2,4,4,4,8,4,3,3,3,TIMEOUT,N/A,40.14862314860026,"{ ""DP"": 1}"
noisy_max,5,0.5,0.01,example_5.dip,5,3.5,2,5,5,5,16,5,4,4,4,TIMEOUT,N/A,TIMEOUT,N/A
noisy_max,2,0.5,0.01,example_2.dip,2,2,2,2,2,2,2,2,1,1,1,1.5266621907552083,"{ ""DP"": 1}",1.2845317522684734,"{ ""DP"": 1}"
noisy_max,3,0.5,0.01,example_3.dip,3,2.5,2,3,3,3,4,3,2,2,2,3.7548016707102456,"{ ""DP"": 1}",1.8204217751820881,"{ ""DP"": 1}"
noisy_min,4,0.5,0.01,example_4.dip,4,3,2,4,4,4,8,4,3,3,3,TIMEOUT,N/A,35.765770276387535,"{ ""DP"": 1}"
noisy_min,2,0.5,0.01,example_2.dip,2,2,2,2,2,2,2,2,1,1,1,1.293277104695638,"{ ""DP"": 1}",1.2821446259816487,"{ ""DP"": 1}"
noisy_min,3,0.5,0.01,example_3.dip,3,2.5,2,3,3,3,4,3,2,2,2,3.374366044998169,"{ ""DP"": 1}",1.7721476554870605,"{ ""DP"": 1}"
mrange,3,0.5,0.01,mrange_3.dip,5,3.75,2,5,4,2,19,4,8,5.2105263157894735,2,TIMEOUT,N/A,TIMEOUT,N/A
mrange,2,0.5,0.01,mrange_2.dip,4,3.1666666666666665,2,4,3.4615384615384617,2,13,3,6,4.153846153846154,2,351.81644376118976,"{ ""DP"": 1}",169.07642602920532,"{ ""DP"": 1}"
mrange,1,0.5,0.01,mrange_1.dip,3,2.5,2,3,2.857142857142857,2,7,2,4,3,2,1.8154133160909016,"{ ""DP"": 1}",1.757665713628133,"{ ""DP"": 1}"
kminmax,4,0.5,0.01,example_4.dip,4,3.4,3,4,3.5714285714285716,3,28,3,6,5.142857142857143,4,318.11282952626544,"{ ""DP"": 1}",41.423899014790855,"{ ""DP"": 1}"
kminmax,3,0.5,0.01,example_3.dip,3,3,3,3,3,3,16,2,4,4,4,5.842105309168498,"{ ""DP"": 1}",2.5976878801981607,"{ ""DP"": 1}"
svt_max,23,0.5,0.01,example_23.dip,3,2.9166666666666665,2,24,13.458333333333334,2,24,24,23,12.458333333333334,1,TIMEOUT,N/A,397.79695161183673,"{ ""DP"": 1}"
svt_max,22,0.5,0.01,example_22.dip,3,2.9130434782608696,2,23,12.956521739130435,2,23,23,22,11.956521739130435,1,TIMEOUT,N/A,321.70052766799927,"{ ""DP"": 1}"
svt_max,20,0.5,0.01,example_20.dip,3,2.9047619047619047,2,21,11.952380952380953,2,21,21,20,10.952380952380953,1,TIMEOUT,N/A,249.09022696812949,"{ ""DP"": 1}"
