Input,AdjTime,WritTime,o/p,RunTime,LineCount,eps
input_1_svt1.txt,0s,0s,0,52s,29,1
input_2_svt1.txt,0s,0s,0,104s,141,1
input_2_svt1_c2.txt,0s,0s,0,189s,198,1
input_3_svt1.txt,0s,0s,0,558s,841,1
input_3_svt1_c2.txt,0s,0s,0,946s,1219,1
input_4_svt1.txt,0s,1s,0,2814s,5489,1
input_4_svt1_c2.txt,0s,3s,0,4636s,8006,1
input_1_svt1.txt,0s,0s,0,25s,29,0.5
input_2_svt1.txt,0s,0s,0,106s,141,0.5
input_2_svt1_c2.txt,0s,0s,0,187s,198,0.5
input_3_svt1.txt,0s,1s,0,578s,841,0.5
input_3_svt1_c2.txt,0s,0s,0,974s,1219,0.5
input_4_svt1.txt,0s,1s,1,2850s,5489,0.5
input_4_svt1_c2.txt,0s,3s,0,4875s,8006,0.5
input_1_svt10.txt,0s,0s,0,29s,29,1
input_2_svt10.txt,0s,0s,0,145s,150,1
input_3_svt10.txt,0s,0s,0,906s,877,1
input_4_svt10.txt,0s,2s,0,4317s,5606,1
input_1_svt10.txt,0s,0s,0,23s,29,0.5
input_2_svt10.txt,0s,0s,0,163s,150,0.5
input_3_svt10.txt,0s,0s,0,1134s,877,0.5
input_4_svt10.txt,0s,2s,0,4887s,5606,0.5
input_3_nmax5.txt,1s,0s,0,311s,387,0.5
input_3_nmin5.txt,0s,1s,0,286s,387,0.5
input_3_nmax5.txt,0s,0s,0,278s,387,1
input_3_nmin5.txt,0s,0s,0,180s,387,1
