type,input_size,number_of_paths,avg_conditions,output_single,time_single,output_all,time_all
$k$-{\minmax},3,16,4.0,$\checkmark$,19.89,$\checkmark$,76.7
$k$-{\minmax},4,28,5.14,$\na$,$\timeout$,$\na$,$\timeout$
$m$-{\Range},1,7,3.0,$\checkmark$,1.51,$\checkmark$,1.85
$m$-{\Range},2,13,4.15,$\checkmark$,171.23,$\checkmark$,344.42
$m$-{\Range},3,19,5.21,$\na$,$\timeout$,$\na$,$\timeout$
\AboveThreshold,2,3,1.67,$\checkmark$,1.25,$\checkmark$,1.5
\AboveThreshold,5,6,3.33,$\checkmark$,5.66,$\checkmark$,72.33
\AboveThreshold,24,25,12.96,$\checkmark$,388.5,$\na$,$\timeout$
\AboveThreshold,25,26,13.46,$\checkmark$,432.58,$\na$,$\timeout$
\BelowThreshold,2,3,1.67,$\checkmark$,1.61,$\checkmark$,2.44
\BelowThreshold,5,6,3.33,$\checkmark$,7.95,$\checkmark$,76.67
\BelowThreshold,24,25,12.96,$\checkmark$,390.79,$\na$,$\timeout$
\BelowThreshold,25,26,13.46,$\checkmark$,441.34,$\na$,$\timeout$
\LaplaceAboveThreshold,2,3,1.67,$\checkmark$,4.11,$\checkmark$,8.76
\LaplaceAboveThreshold,5,6,3.33,$\checkmark$,46.02,$\na$,$\timeout$
\LaplaceAboveThreshold,11,12,6.42,$\checkmark$,497.84,$\na$,$\timeout$
\LaplaceBelowThreshold,2,3,1.67,$\checkmark$,5.14,$\checkmark$,8.75
\LaplaceBelowThreshold,5,6,3.33,$\checkmark$,47.58,$\na$,$\timeout$
\LaplaceBelowThreshold,11,12,6.42,$\checkmark$,500.21,$\na$,$\timeout$
\LaplaceNoisyMax,3,4,2.0,$\checkmark$,13.12,$\checkmark$,47.22
\LaplaceNoisyMax,4,8,3.0,$\na$,$\timeout$,$\na$,$\timeout$
\LaplaceNoisyMin,3,4,2.0,$\checkmark$,9.8,$\checkmark$,45.6
\LaplaceNoisyMin,4,8,3.0,$\na$,$\timeout$,$\na$,$\timeout$
\MixOneAboveThreshold,2,3,1.67,$\checkmark$,2.35,$\checkmark$,4.08
\MixOneAboveThreshold,5,6,3.33,$\checkmark$,16.06,$\checkmark$,261.05
\MixOneAboveThreshold,17,18,9.44,$\checkmark$,343.64,$\na$,$\timeout$
\MixOneBelowThreshold,2,3,1.67,$\checkmark$,2.44,$\checkmark$,4.26
\MixOneBelowThreshold,5,6,3.33,$\checkmark$,19.45,$\checkmark$,285.42
\MixOneBelowThreshold,17,18,9.44,$\checkmark$,365.74,$\na$,$\timeout$
\MixTwoAboveThreshold,2,3,1.67,$\checkmark$,7.11,$\checkmark$,13.37
\MixTwoAboveThreshold,5,6,3.33,$\checkmark$,67.71,$\na$,$\timeout$
\MixTwoAboveThreshold,10,11,5.91,$\checkmark$,506.5,$\na$,$\timeout$
\MixTwoBelowThreshold,2,3,1.67,$\checkmark$,7.24,$\checkmark$,14.39
\MixTwoBelowThreshold,5,6,3.33,$\checkmark$,72.17,$\na$,$\timeout$
\MixTwoBelowThreshold,11,12,6.42,$\na$,$\timeout$,$\na$,$\timeout$
\NoisyMax,2,2,1.0,$\checkmark$,0.96,$\checkmark$,1.32
\NoisyMax,3,4,2.0,$\checkmark$,1.59,$\checkmark$,3.13
\NoisyMax,4,8,3.0,$\checkmark$,37.82,$\checkmark$,303.02
\NoisyMin,2,2,1.0,$\checkmark$,0.96,$\checkmark$,1.33
\NoisyMin,3,4,2.0,$\checkmark$,1.57,$\checkmark$,3.06
\NoisyMin,4,8,3.0,$\checkmark$,36.82,$\checkmark$,303.58
\NonPrivAboveThreshold,3,4,2.25,$\times$,0.99,$\times$,0.94
\NonPrivAboveThreshold,6,7,3.86,$\times$,1.0,$\times$,0.97
\NonPrivAboveThreshold-$1$,5,6,3.33,$\times$,1.02,$\times$,1.13
\NonPrivAboveThreshold-$1$,6,7,3.86,$\times$,1.18,$\times$,1.43
\NonPrivBelowThreshold,3,4,2.25,$\times$,0.97,$\times$,1.05
\NonPrivBelowThreshold,6,7,3.86,$\times$,1.03,$\times$,1.05
\NonPrivBelowThreshold-$1$,5,6,3.33,$\times$,0.95,$\times$,1.18
\NonPrivBelowThreshold-$1$,6,7,3.86,$\times$,0.99,$\times$,1.52
