type,input_size,unoptimize-max_depth,unoptimize-avg_depth,unoptimize-time_single,optimize-max_depth,optimize-avg_depth,optimize-time_single
\AboveThreshold,1,2,2.0,0.99,2,2.0,1.1
\AboveThreshold,2,3,2.67,2.53,3,2.33,1.25
\AboveThreshold,3,4,3.25,67.1,3,2.5,2.12
\AboveThreshold,4,5,3.8,$\timeout$,3,2.6,3.5
\AboveThreshold,5,6,4.33,$\timeout$,3,2.67,5.66
\LaplaceAboveThreshold,1,2,2.0,1.06,2,2.0,1.03
\LaplaceAboveThreshold,2,3,2.67,8.69,3,2.33,4.11
\LaplaceAboveThreshold,3,4,3.25,$\timeout$,3,2.5,11.98
\LaplaceAboveThreshold,4,5,3.8,$\timeout$,3,2.6,24.64
\LaplaceAboveThreshold,5,6,4.33,$\timeout$,3,2.67,46.02
\MixOneAboveThreshold,1,2,2.0,1.1,2,2.0,0.99
\MixOneAboveThreshold,2,3,2.67,2.89,3,2.33,2.35
\MixOneAboveThreshold,3,4,3.25,130.26,3,2.5,7.02
\MixOneAboveThreshold,4,5,3.8,$\timeout$,3,2.6,11.06
\MixOneAboveThreshold,5,6,4.33,$\timeout$,3,2.67,16.06
\NoisyMax,2,2,2.0,0.98,2,2.0,0.96
\NoisyMax,3,3,3.0,3.53,3,2.5,1.59
\NoisyMax,4,4,4.0,$\timeout$,4,3.0,37.82
\NoisyMax,5,5,5.0,$\timeout$,5,3.5,$\timeout$
