delta,eps,time
0.01,0.05,14.64
0.01,0.08,14.19
0.01,0.09,14.53
0.01,0.1,13.98
0.01,0.2,13.79
0.01,0.3,14.06
0.01,0.4,13.61
0.01,0.5,12.84
0.01,0.6,13.75
0.01,0.7,14.3
0.01,0.8,13.59
0.01,0.9,13.51
0.01,1,13.11
0.05,0.05,13.96
0.05,0.08,14.14
0.05,0.09,13.84
0.05,0.1,13.9
0.05,0.2,13.85
0.05,0.3,14.01
0.05,0.4,14.19
0.05,0.5,12.62
0.05,0.6,13.96
0.05,0.7,13.86
0.05,0.8,13.53
0.05,0.9,13.49
0.05,1,12.66
0.1,0.05,14.21
0.1,0.08,13.88
0.1,0.09,13.9
0.1,0.1,14.21
0.1,0.2,13.87
0.1,0.3,14.21
0.1,0.4,13.83
0.1,0.5,12.97
0.1,0.6,14.29
0.1,0.7,13.73
0.1,0.8,13.9
0.1,0.9,14.26
0.1,1,12.59
0.2,0.05,14.18
0.2,0.08,14.68
0.2,0.09,13.92
0.2,0.1,14.02
0.2,0.2,13.93
0.2,0.3,14.06
0.2,0.4,13.78
0.2,0.5,12.67
0.2,0.6,13.78
0.2,0.7,13.7
0.2,0.8,14.17
0.2,0.9,13.7
0.2,1,12.78
0.3,0.05,14.51
0.3,0.08,14.57
0.3,0.09,13.9
0.3,0.1,14.16
0.3,0.2,14.36
0.3,0.3,14.24
0.3,0.4,13.75
0.3,0.5,12.57
0.3,0.6,13.92
0.3,0.7,13.67
0.3,0.8,13.54
0.3,0.9,14.07
0.3,1,12.63
0.4,0.05,13.97
0.4,0.08,14.45
0.4,0.09,14.26
0.4,0.1,14.29
0.4,0.2,13.98
0.4,0.3,14.03
0.4,0.4,13.89
0.4,0.5,12.53
0.4,0.6,13.76
0.4,0.7,13.61
0.4,0.8,13.47
0.4,0.9,13.56
0.4,1,13.2
0.5,0.05,14.12
0.5,0.08,14.55
0.5,0.09,14.01
0.5,0.1,14.37
0.5,0.2,13.78
0.5,0.3,14.51
0.5,0.4,14.09
0.5,0.5,12.64
0.5,0.6,13.88
0.5,0.7,13.54
0.5,0.8,13.53
0.5,0.9,13.85
0.5,1,12.66
0.6,0.05,14.49
0.6,0.08,14.29
0.6,0.09,14.19
0.6,0.1,13.84
0.6,0.2,13.85
0.6,0.3,13.73
0.6,0.4,13.86
0.6,0.5,12.73
0.6,0.6,13.6
0.6,0.7,14.14
0.6,0.8,13.55
0.6,0.9,13.54
0.6,1,12.51
