type,input_size,eps,dpic_time,time,factor,output
\LaplaceAboveThreshold,1,1,29,1.74,16.67,$\checkmark$
\LaplaceAboveThreshold,1,0.5,23,1.47,15.65,$\checkmark$
\LaplaceAboveThreshold,2,1,145,25.44,5.7,$\checkmark$
\LaplaceAboveThreshold,2,0.5,163,22.04,7.4,$\checkmark$
\LaplaceAboveThreshold,3,1,906,227.62,3.98,$\checkmark$
\LaplaceAboveThreshold,3,0.5,1134,204.54,5.54,$\checkmark$
\LaplaceAboveThreshold,4,1,4317,1684.57,2.56,$\checkmark$
\LaplaceAboveThreshold,4,0.5,4887,1285.25,3.8,$\checkmark$
\LaplaceBelowThreshold,1,1,52,1.96,26.53,$\checkmark$
\LaplaceBelowThreshold,1,0.5,25,1.57,15.92,$\checkmark$
\LaplaceBelowThreshold,2,1,104,26.56,3.92,$\checkmark$
\LaplaceBelowThreshold,2,0.5,106,32.38,3.27,$\checkmark$
\LaplaceBelowThreshold,3,1,558,250.02,2.23,$\checkmark$
\LaplaceBelowThreshold,3,0.5,578,279.17,2.07,$\checkmark$
\LaplaceBelowThreshold,4,1,2814,1481.86,1.9,$\checkmark$
\LaplaceBelowThreshold,4,0.5,2850,1638.7,1.74,$\checkmark$
\LaplaceBelowThreshold-$3$,5,0.5,3146,97,32.43,$\times$
\LaplaceBelowThreshold-$4$,2,0.5,80,41,1.95,$\times$
\LaplaceBelowThreshold-$5$,2,0.5,7,1,7.0,$\times$
\LaplaceBelowThreshold-$6$,3,0.5,526,75,7.01,$\times$
\LaplaceNoisyMax,3,1,278,166.85,1.67,$\checkmark$
\LaplaceNoisyMax,3,0.5,311,152.81,2.04,$\checkmark$
\LaplaceNoisyMin,3,1,180,165.47,1.09,$\checkmark$
\LaplaceNoisyMin,3,0.5,286,154.09,1.86,$\checkmark$
