folder,input_size,eps,delta,test,max_depth,avg_depth,min_depth,max_variables,avg_variables,min_variables,number_of_paths,number_of_outputs,max_conditions,avg_conditions,min_conditions,time_all,output_all,time_single,output_single
svt_laplace,4,0.5,0.01,example_4.dip,5,3.8,2,5,3.8,2,5,5,4,2.8,1,TIMEOUT,N/A,TIMEOUT,N/A
svt_laplace,5,0.5,0.01,example_5.dip,6,4.333333333333333,2,6,4.333333333333333,2,6,6,5,3.3333333333333335,1,TIMEOUT,N/A,TIMEOUT,N/A
svt_laplace,2,0.5,0.01,example_2.dip,3,2.6666666666666665,2,3,2.6666666666666665,2,3,3,2,1.6666666666666667,1,19.471166054407757,"{ ""DP"": 1}",8.69374942779541,"{ ""DP"": 1}"
svt_laplace,3,0.5,0.01,example_3.dip,4,3.25,2,4,3.25,2,4,4,3,2.25,1,TIMEOUT,N/A,TIMEOUT,N/A
svt_laplace,1,0.5,0.01,example_1.dip,2,2,2,2,2,2,2,2,1,1,1,1.4123497009277344,"{ ""DP"": 1}",1.057979663213094,"{ ""DP"": 1}"
svt_laplace_max,4,0.5,0.01,example_4.dip,5,3.8,2,5,3.8,2,5,5,4,2.8,1,TIMEOUT,N/A,TIMEOUT,N/A
svt_laplace_max,5,0.5,0.01,example_5.dip,6,4.333333333333333,2,6,4.333333333333333,2,6,6,5,3.3333333333333335,1,TIMEOUT,N/A,TIMEOUT,N/A
svt_laplace_max,2,0.5,0.01,example_2.dip,3,2.6666666666666665,2,3,2.6666666666666665,2,3,3,2,1.6666666666666667,1,28.67530369758606,"{ ""DP"": 1}",14.2057093779246,"{ ""DP"": 1}"
svt_laplace_max,3,0.5,0.01,example_3.dip,4,3.25,2,4,3.25,2,4,4,3,2.25,1,TIMEOUT,N/A,TIMEOUT,N/A
svt_laplace_max,1,0.5,0.01,example_1.dip,2,2,2,2,2,2,2,2,1,1,1,1.388761043548584,"{ ""DP"": 1}",1.0413302580515544,"{ ""DP"": 1}"
